"ZabbixHost","NetworkName","NetworkId","Types"
"Meraki_Group_3","Mojmirovce  - wireless","N_619244948763477418","wireless"
"Meraki_Group_3","Kosice - Calmar  - wireless","N_619244948763479002","wireless"
"Meraki_Group_3","Spisska Nova Ves  - wireless","N_619244948763491808","wireless"
"Meraki_Group_1","Banska Bystrica - Switch","N_619244948763476131","switch"
"Meraki_Group_1","Mojmirovce - Switch","N_619244948763478084","switch"
"Meraki_Group_1","Rimavska Sobota - Switch","N_619244948763485214","switch"
"Meraki_Group_1","Kosice - Ryba - Switch","N_619244948763493275","switch"
"Meraki_Group_2","Kosice - Calmar - Switch","N_619244948763477373","switch"
"Meraki_Group_2","Spisska Nova Ves - switch","N_619244948763478361","switch"
"Meraki_Group_2","Rimavska Sobota  - wireless","N_619244948763490898","wireless"
"Meraki_Group_2","Kosice - Ryba - wireless","N_619244948763498555","wireless"
