Friendly Name	IP Address	Device Manufacturer	Status
wlc	10.20.11.4	RADIUS Standard	Enabled
tg-rs-ap-01	10.20.11.51	RADIUS Standard	Enabled
tg-rs-ap-02	10.20.11.52	RADIUS Standard	Enabled
tg-rs-ap-03	10.20.11.53	RADIUS Standard	Enabled
tg-rs-ap-04	10.20.11.54	RADIUS Standard	Enabled
tg-rs-ap-05	10.20.11.55	RADIUS Standard	Enabled
tg-rs-ap-06	10.20.11.56	RADIUS Standard	Enabled
tg-rs-ap-07	10.20.11.57	RADIUS Standard	Enabled
tg-rs-ap-08	10.20.11.58	RADIUS Standard	Enabled
tg-rs-ap-09	10.20.11.59	RADIUS Standard	Enabled
tg-rs-ap-10	10.20.11.60	RADIUS Standard	Enabled
tg-rs-ap-11	10.20.11.61	RADIUS Standard	Enabled
tg-rs-ap-12	10.20.11.62	RADIUS Standard	Enabled
tg-rs-ap-14	10.20.11.64	RADIUS Standard	Enabled
tg-rs-ap-15	10.20.11.65	RADIUS Standard	Enabled
TG-RS-HYGIENA-AP-15	10.20.11.65	RADIUS Standard	Enabled
TG-RS-RD05-MV-AP-16	10.20.11.66	RADIUS Standard	Enabled
tg-rs-mv-ap-17	10.20.11.67	RADIUS Standard	Enabled
snv-riadtiel-ap-01	10.30.0.10	RADIUS Standard	Enabled
tg-snv-ap-01	10.30.11.51	RADIUS Standard	Enabled
tg-snv-ap-02	10.30.11.52	RADIUS Standard	Enabled
tg-snv-ap-03	10.30.11.53	RADIUS Standard	Enabled
TG-SNV-AP-04	10.30.11.54	RADIUS Standard	Enabled
tg-snv-ap-05	10.30.11.55	RADIUS Standard	Enabled
tg-snv-ap-06	10.30.11.56	RADIUS Standard	Enabled
tg-nr-ap-01	10.40.11.11	RADIUS Standard	Enabled
tg-nr-ap-02	10.40.11.12	RADIUS Standard	Enabled
tg-nr-ap-03	10.40.11.13	RADIUS Standard	Enabled
TG-KE-SKLAD-AP-01	10.50.11.11	RADIUS Standard	Enabled
TG-KE-SKLAD-AP-02	10.50.11.12	RADIUS Standard	Enabled
TG-KE-SKLAD-AP-03	10.50.11.13	RADIUS Standard	Enabled
TG-KE-SKLAD-AP-04	10.50.11.14	RADIUS Standard	Enabled
TG-KE-SKLAD-AP-28-vchod	10.50.11.41	RADIUS Standard	Enabled
TG-KE-SKLAD-AP-22-rampa-1	10.50.11.42	RADIUS Standard	Enabled
TG-KE-SKLAD-AP-06	10.50.11.43	RADIUS Standard	Enabled
TG-KE-SKLAD-AP-07	10.50.11.44	RADIUS Standard	Enabled
TG-KE-SKLAD-AP-08	10.50.11.45	RADIUS Standard	Enabled
TG-KE-SKLAD-AP-09	10.50.11.46	RADIUS Standard	Enabled
TG-KE-SKLAD-AP-10	10.50.11.47	RADIUS Standard	Enabled
TG-KE-SKLAD-AP-11	10.50.11.48	RADIUS Standard	Enabled
TG-KE-SKLAD-AP-12	10.50.11.49	RADIUS Standard	Enabled
TG-KE-SKLAD-AP-13	10.50.11.50	RADIUS Standard	Enabled
TG-KE-SKLAD-AP-14	10.50.11.51	RADIUS Standard	Enabled
TG-KE-SKLAD-AP-15	10.50.11.52	RADIUS Standard	Enabled
TG-KE-SKLAD-AP-16	10.50.11.53	RADIUS Standard	Enabled
TG-KE-SKLAD-AP-17	10.50.11.54	RADIUS Standard	Enabled
TG-KE-SKLAD-AP-18	10.50.11.55	RADIUS Standard	Enabled
TG-KE-SKLAD-AP-19	10.50.11.56	RADIUS Standard	Enabled
TG-KE-SKLAD-AP-20	10.50.11.57	RADIUS Standard	Enabled
TG-KE-SKLAD-AP-21	10.50.11.58	RADIUS Standard	Enabled
TG-KE-SKLAD-AP-05	10.50.11.59	RADIUS Standard	Enabled
TG-KE-SKLAD-AP-24-vratnica	10.50.11.60	RADIUS Standard	Enabled
